precision,recall
0.6534090909090909,0.575
0.6514285714285715,0.57
0.6551724137931034,0.57
0.653179190751445,0.565
0.6569767441860465,0.565
0.6608187134502924,0.565
0.6647058823529411,0.565
0.6627218934911243,0.56
0.6666666666666666,0.56
0.6646706586826348,0.555
0.6626506024096386,0.55
0.6606060606060606,0.545
0.6646341463414634,0.545
0.6687116564417178,0.545
0.6728395061728395,0.545
0.6708074534161491,0.54
0.66875,0.535
0.6666666666666666,0.53
0.6645569620253164,0.525
0.6687898089171974,0.525
0.6730769230769231,0.525
0.6709677419354839,0.52
0.6753246753246753,0.52
0.673202614379085,0.515
0.6776315789473685,0.515
0.6821192052980133,0.515
0.68,0.51
0.6845637583892618,0.51
0.6891891891891891,0.51
0.6938775510204082,0.51
0.6986301369863014,0.51
0.7034482758620689,0.51
